,state_code,country,population,top,counts,cuisine_names
398,SC,Honduras,7647,top9,27.0,South America
399,SC,Vietnam,5526,top10,51.0,Vietnam
400,SD,Mexico,3331,top1,53.0,"Mexico, Taco, Tex-Mex"
401,SD,Ethiopia,2182,top2,2.0,Ethiopia
402,SD,Philippines,1439,top3,0.0,Philippines
403,SD,Burma,1372,top4,0.0,Burma
404,SD,China,1288,top5,34.0,China
405,SD,Guatemala,1266,top6,52.0,Guatemala
406,SD,Canada,1092,top7,0.0,Canada
407,SD,Nepal,1054,top8,0.0,Nepal
408,SD,India,1008,top9,5.0,India
409,SD,Thailand,930,top10,2.0,Thailand
410,TN,Mexico,91172,top1,541.0,"Mexico, Taco, Tex-Mex"
411,TN,India,21276,top2,22.0,India
412,TN,Guatemala,12504,top3,534.0,Guatemala
413,TN,China,11929,top4,334.0,China
414,TN,Honduras,11431,top5,8.0,South America
415,TN,Philippines,9750,top6,5.0,Philippines
416,TN,Egypt,9558,top7,11.0,Egypt
417,TN,El Salvador,8986,top8,3.0,El Salvador
418,TN,Vietnam,8790,top9,29.0,Vietnam
419,TN,Canada,8598,top10,0.0,Canada
420,TX,Mexico,2535883,top1,43650.0,"Mexico, Taco, Tex-Mex"
421,TX,India,253898,top2,3952.0,India
422,TX,El Salvador,206561,top3,592.0,El Salvador
423,TX,Vietnam,177574,top4,3956.0,Vietnam
424,TX,Honduras,111466,top5,874.0,South America
425,TX,China,103432,top6,12709.0,China
426,TX,Philippines,99561,top7,163.0,Philippines
427,TX,Guatemala,73876,top8,32767.0,Guatemala
428,TX,Nigeria,73135,top9,551.0,Nigeria
429,TX,Pakistan,58890,top10,798.0,Pakistan
430,UT,Mexico,103386,top1,516.0,"Mexico, Taco, Tex-Mex"
431,UT,Canada,8148,top2,1.0,Canada
432,UT,India,7501,top3,49.0,India
433,UT,El Salvador,7295,top4,3.0,El Salvador
434,UT,China,7152,top5,244.0,China
435,UT,"Oceania, n.e.c.",6826,top6,1.0,"Oceania, n.e.c."
436,UT,Vietnam,6807,top7,60.0,Vietnam
437,UT,Peru,6088,top8,6.0,Peru
438,UT,Philippines,5434,top9,3.0,Philippines
439,UT,Guatemala,5187,top10,554.0,Guatemala
440,VA,El Salvador,107946,top1,0.0,El Salvador
441,VA,India,87110,top2,54.0,India
442,VA,Mexico,53864,top3,478.0,"Mexico, Taco, Tex-Mex"
443,VA,Philippines,53623,top4,35.0,Philippines
444,VA,Korea,53432,top5,59.0,Korea
445,VA,Vietnam,42986,top6,55.0,Vietnam
446,VA,China,39240,top7,728.0,China
447,VA,Honduras,34352,top8,29.0,South America
448,VA,Guatemala,30780,top9,585.0,Guatemala
449,VA,Ethiopia,29850,top10,16.0,Ethiopia
450,WA,Mexico,240394,top1,9330.0,"Mexico, Taco, Tex-Mex"
451,WA,India,75552,top2,1621.0,India
452,WA,Philippines,69465,top3,254.0,Philippines
453,WA,China,65878,top4,6111.0,China
454,WA,Vietnam,55863,top5,4388.0,Vietnam
455,WA,Korea,46253,top6,1589.0,Korea
456,WA,Canada,45302,top7,1.0,Canada
457,WA,Ukraine,31620,top8,0.0,Ukraine
458,WA,Russia,19322,top9,126.0,Russia
459,WA,Germany,18884,top10,220.0,Germany
460,WI,Mexico,88562,top1,525.0,"Mexico, Taco, Tex-Mex"
461,WI,India,22672,top2,55.0,India
462,WI,Laos,16269,top3,2.0,Laos
463,WI,China,15702,top4,426.0,China
464,WI,Thailand,10875,top5,85.0,Thailand
465,WI,Germany,9610,top6,42.0,Germany
466,WI,Philippines,7832,top7,1.0,Philippines
467,WI,Canada,6873,top8,0.0,Canada
468,WI,Korea,6367,top9,16.0,Korea
469,WI,Poland,4150,top10,2.0,Poland
470,WV,India,2743,top1,2.0,India
471,WV,China,2515,top2,23.0,China
472,WV,Philippines,2193,top3,0.0,Philippines
473,WV,Mexico,1864,top4,23.0,"Mexico, Taco, Tex-Mex"
474,WV,Germany,1319,top5,0.0,Germany
475,WV,Canada,1162,top6,0.0,Canada
476,WV,England,745,top7,0.0,England
477,WV,Japan,734,top8,16.0,"Japan, Sushi, Teriyaki, Ramen"
478,WV,Iran,724,top9,0.0,Iran
479,WV,Vietnam,655,top10,2.0,Vietnam
480,WY,Mexico,8441,top1,32.0,"Mexico, Taco, Tex-Mex"
481,WY,Philippines,1046,top2,0.0,Philippines
482,WY,Canada,1022,top3,0.0,Canada
483,WY,Guatemala,756,top4,32.0,Guatemala
484,WY,Germany,700,top5,0.0,Germany
485,WY,China,672,top6,20.0,China
486,WY,England,584,top7,0.0,England
487,WY,El Salvador,503,top8,0.0,El Salvador
488,WY,"United Kingdom, excluding England and Scotland",396,top9,0.0,United Kingdom
489,WY,Korea,373,top10,1.0,Korea
